115.17	220.81	120.21	270.39	135.63	313.72	162.07	357.78	196.63	382.65	240.11	364.63	276.18	326.37	292.64	273.33	300.38	218.5	123.88	214.58	139.49	215.93	153.27	219.79	167.52	225.3	181.18	232.54	209.93	232.37	228.77	226.99	245.27	222.18	262.62	220.12	278.4	221.28	195.44	247.23	193.88	266.41	192.72	283.7	191.41	299.78	175.39	303.21	192.86	313.39	211.17	305.87	143.51	240.61	152.87	234.9	165.89	234.66	175.52	243.57	165.01	245.42	152.03	244.45	222.76	246.62	233.25	239.6	245.64	238.32	255.06	244.46	245.79	249.09	234.11	249.77	162.77	318.25	193.28	323.76	234.04	323.27	192.06	349.25
67.58	165.83	71.0	206.85	80.19	241.86	99.7	275.72	133.25	297.22	171.33	282.43	200.59	251.68	207.88	208.56	212.55	166.94	74.1	161.52	86.76	157.56	99.75	158.69	110.58	163.21	120.81	169.31	141.23	169.31	156.08	163.16	170.89	160.17	185.43	159.65	198.06	163.74	131.75	177.49	130.95	192.9	131.11	208.45	130.36	223.54	116.54	227.55	131.56	234.35	148.01	228.07	87.64	176.94	96.24	170.98	106.15	170.69	115.46	180.11	106.21	181.87	94.79	181.55	153.48	182.18	161.16	173.18	172.68	172.05	182.02	178.83	172.5	183.55	162.33	183.95	103.59	244.32	132.7	245.41	164.78	245.32	132.59	264.58
105.23	155.52	109.54	185.05	118.76	212.99	134.13	239.23	157.0	258.88	195.11	246.86	222.26	219.57	234.11	182.63	234.93	145.22	105.96	137.89	115.59	138.72	124.24	140.89	132.98	144.38	141.61	148.69	162.5	149.39	174.77	145.09	187.02	142.03	198.91	140.1	211.18	140.34	152.28	160.38	151.48	172.07	150.88	184.72	150.45	197.32	142.76	202.39	152.43	209.35	167.89	203.27	118.87	154.35	123.39	150.62	134.12	151.32	140.18	157.72	132.9	160.62	123.7	160.27	174.67	160.08	180.14	152.16	189.49	151.78	197.97	156.24	191.58	161.18	182.49	161.9	136.27	217.78	154.93	218.51	183.72	218.95	154.89	233.68
221.84	292.66	228.63	356.57	244.52	412.84	278.07	457.09	334.73	488.07	387.52	465.83	428.26	419.35	439.6	357.8	441.64	292.05	231.95	289.59	249.7	281.8	268.8	281.67	285.75	286.33	303.2	294.35	333.06	294.12	352.84	284.86	371.29	279.4	392.44	276.33	414.05	281.02	321.64	313.65	322.16	334.84	321.83	357.27	321.89	380.96	298.76	385.44	323.19	397.5	349.37	385.29	252.62	313.09	265.98	303.35	282.54	303.09	296.99	316.92	283.73	319.17	265.92	319.82	350.78	316.58	366.35	301.85	383.6	301.85	393.79	308.87	383.4	316.96	366.81	318.2	283.47	410.08	324.31	409.96	377.55	408.39	327.93	442.17
244.68	343.27	259.5	417.39	282.97	495.21	336.29	549.91	409.48	574.4	475.47	539.85	515.27	479.63	521.18	394.6	519.75	315.91	268.12	323.84	293.27	311.26	321.52	308.05	346.86	311.86	370.27	321.39	406.25	320.16	432.34	306.87	457.3	298.06	483.76	294.75	505.86	303.47	393.79	343.32	397.4	369.43	399.86	396.16	403.09	423.12	373.03	438.83	404.91	446.87	432.41	433.55	301.5	349.45	315.97	337.27	337.33	336.22	354.54	350.42	338.69	355.17	318.46	356.42	424.99	348.11	440.9	327.4	464.55	323.51	482.86	337.32	468.08	344.16	444.98	347.91	347.5	479.66	404.68	471.74	459.61	470.5	409.5	507.73
101.94	145.39	106.27	172.79	113.84	199.04	131.05	219.89	154.63	231.23	179.66	220.97	198.3	198.96	206.03	173.06	207.33	148.22	111.0	136.94	121.16	133.07	131.17	133.75	140.51	136.59	147.83	141.52	162.87	140.83	172.19	136.25	181.99	133.97	191.29	133.95	200.97	135.79	155.36	149.75	155.48	159.74	155.82	169.61	155.82	179.87	145.69	182.78	155.94	188.4	166.46	183.31	121.34	146.23	127.51	141.34	136.38	142.41	141.85	149.14	135.16	150.37	127.56	149.54	169.79	150.17	174.38	143.98	182.11	143.25	188.42	147.04	183.6	150.48	176.79	151.36	132.14	194.26	155.16	196.48	176.57	196.11	155.29	208.3
127.81	109.13	131.72	144.75	151.93	175.16	190.18	190.44	225.04	196.3	242.18	175.13	252.44	152.09	250.26	124.68	245.52	105.63	168.71	109.0	177.3	101.7	188.28	100.67	198.83	102.04	210.02	103.68	223.99	100.34	229.78	95.8	234.64	92.33	239.37	87.69	245.5	86.33	218.81	108.69	222.84	117.42	227.04	126.0	230.23	134.41	211.41	144.86	230.79	144.68	237.13	134.29	174.94	119.23	183.41	116.3	190.78	114.35	195.07	115.33	191.52	117.65	184.4	118.94	228.49	107.08	232.62	103.72	237.69	103.19	240.9	104.88	236.97	106.93	233.09	107.14	198.78	161.79	223.68	153.59	238.33	149.98	220.88	173.66
205.24	176.33	212.82	221.04	224.39	260.51	251.11	291.3	291.19	307.46	322.11	285.97	340.66	253.19	349.38	212.8	350.09	174.04	226.24	170.85	239.52	163.39	255.09	162.6	270.3	166.15	282.72	171.09	299.6	172.93	311.2	167.27	322.46	163.76	333.51	162.12	345.56	164.79	295.29	187.06	296.26	198.35	297.53	210.69	298.31	222.02	275.45	228.91	296.41	236.24	310.37	226.88	241.54	182.09	250.98	177.62	261.99	177.38	270.1	184.88	260.37	187.23	250.04	186.99	308.08	183.76	315.53	177.61	325.24	177.74	332.38	181.25	327.18	184.67	317.51	185.52	254.17	244.62	292.19	244.42	322.93	243.87	292.02	273.23
88.76	111.93	85.73	139.27	90.1	167.46	103.99	189.79	129.87	203.19	157.79	195.48	174.04	173.7	184.43	147.51	189.15	122.2	96.79	101.76	105.52	97.65	113.23	96.48	121.93	98.64	128.09	102.33	147.36	104.47	156.97	100.46	166.26	98.23	175.13	101.17	181.25	107.42	137.28	114.0	135.99	122.16	134.89	130.06	133.98	138.08	125.01	145.31	134.71	149.25	144.78	147.69	108.34	113.76	113.73	110.31	120.27	111.46	123.87	116.0	118.67	117.88	112.26	117.42	151.33	118.6	156.92	114.16	164.31	113.61	169.89	118.35	164.92	121.25	158.02	120.88	113.08	165.38	134.07	159.61	151.8	167.84	133.39	171.14
611.28	272.77	613.09	339.26	632.67	404.68	651.94	460.1	695.84	505.27	771.14	496.68	852.38	442.78	894.31	365.68	912.77	265.62	608.92	214.0	624.61	205.92	641.09	213.03	656.64	218.5	675.12	229.9	714.51	232.71	746.3	221.28	780.46	216.1	814.84	219.58	843.14	231.22	691.12	258.29	686.69	284.65	678.84	314.95	671.58	341.52	662.79	357.7	684.1	368.44	716.66	364.43	629.31	253.42	641.1	239.63	656.76	242.04	675.9	261.23	657.32	266.31	639.43	264.66	746.96	268.77	763.15	249.65	792.9	251.68	810.97	264.93	793.65	274.87	770.09	277.39	650.47	402.92	685.55	399.2	762.03	412.24	691.35	438.21
